EN Term,ZH,FR,Category,Subcategory,Notes,Example_EN,Example_ZH,Example_FR
Airway,气道,Voies aériennes,Basic,General,保持通畅是急救第一步,Clear the airway first.,首先清理气道。,Dégagez les voies aériennes en premier.
Bandage,绷带,Bandage,Instrument,Wound Care,用于压迫止血,Apply sterile bandage.,使用无菌绷带。,Appliquer un bandage stérile.
Contraindication,禁忌症,Contre-indication,Medication,Safety,禁止使用的情况,Pregnancy is a contraindication.,妊娠是禁忌症。,La grossesse est une contre-indication.
Dialysis,透析,Dialyse,Treatment,Nephrology,肾功能替代治疗,Hemodialysis 3 times weekly.,每周3次血液透析。,Hémodialyse 3 fois par semaine.
ECG,心电图,ECG,Diagnostic,Cardiology,心脏电活动记录,Perform a 12-lead ECG.,做12导联心电图。,Réaliser un ECG 12 dérivations.
Fracture,骨折,Fracture,Disease,Orthopedics,完全/不完全骨折,Closed fracture needs casting.,闭合骨折需打石膏。,Fracture fermée nécessite un plâtre.
Gauze,纱布,Gaze,Instrument,Wound Care,消毒纱布用于覆盖伤口,Use sterile gauze.,使用消毒纱布。,Utiliser de la gaze stérile.
Hemorrhage,出血,Hémorragie,Emergency,Trauma,内出血/外出血,Control hemorrhage immediately.,立即控制出血。,Contrôler l'hémorragie immédiatement.
IV line,静脉通路,Voie intraveineuse,Treatment,General,建立给药通道,Insert an IV line.,建立静脉通路。,Mettre en place une voie intraveineuse.
Jaundice,黄疸,Jaunisse,Symptom,General,胆红素升高表现,Newborn jaundice is common.,新生儿黄疸常见。,La jaunisse du nouveau-né est fréquente.
Kidney,肾脏,Rein,Anatomy,Urology,泌尿系统器官,The kidney filters blood.,肾脏过滤血液。,Le rein filtre le sang.
Laceration,撕裂伤,Lacération,Injury,Trauma,不规则伤口,Suture the laceration.,缝合撕裂伤。,Suturer la lacération.
Malignant,恶性,Malin,Disease,Oncology,癌性肿瘤,Malignant tumor requires biopsy.,恶性肿瘤需活检。,Tumeur maligne nécessite une biopsie.
Nausea,恶心,Nausée,Symptom,General,常见副作用,Chemotherapy causes nausea.,化疗导致恶心。,La chimiothérapie provoque des nausées.
Oxygen,氧气,Oxygène,Treatment,Respiratory,生命支持气体,Administer oxygen via mask.,通过面罩给氧。,Administrer de l'oxygène par masque.
Pulse,脉搏,Pouls,Vital Sign,General,60-100次/分钟正常,Check radial pulse.,检查桡动脉脉搏。,Vérifier le pouls radial.
Quarantine,隔离,Quarantaine,Public Health,Infection,传染病控制,COVID patients need quarantine.,新冠患者需要隔离。,Les patients COVID ont besoin de quarantaine.
Rash,皮疹,Éruption,Symptom,Dermatology,皮肤异常表现,Assess rash distribution.,评估皮疹分布。,Évaluer la distribution de l'éruption.
Suture,缝合,Suture,Procedure,Surgery,伤口闭合方法,Remove sutures after 7 days.,7天后拆线。,Retirer les sutures après 7 jours.
Tendon,肌腱,Tendon,Anatomy,Orthopedics,连接肌肉与骨骼,Achilles tendon is vulnerable.,跟腱容易受伤。,Le tendon d'Achille est vulnérable.
Ulcer,溃疡,Ulcère,Disease,Gastroenterology,胃肠道损伤,Peptic ulcer causes pain.,消化性溃疡引起疼痛。,L'ulcère peptique cause de la douleur.
Virus,病毒,Virus,Pathogen,Microbiology,致病微生物,Virus causes infection.,病毒引起感染。,Le virus cause une infection.
Wound,伤口,Plaie,Injury,General,皮肤完整性破坏,Clean wound thoroughly.,彻底清洁伤口。,Nettoyer soigneusement la plaie.
X-ray,X光,Radiographie,Diagnostic,Imaging,医学影像检查,Order chest X-ray.,开胸部X光检查。,Prescrire une radiographie thoracique.
Yellow fever,黄热病,Fièvre jaune,Disease,Infectious,蚊媒传播疾病,Yellow fever requires vaccination.,黄热病需要疫苗接种。,La fièvre jaune nécessite une vaccination.
Zinc,锌,Zinc,Nutrition,Mineral,必需微量元素,Zinc deficiency affects immunity.,缺锌影响免疫力。,La carence en zinc affecte l'immunité.
Anemia,贫血,Anémie,Disease,Hematology,血红蛋白减少,Iron deficiency causes anemia.,缺铁导致贫血。,La carence en fer cause l'anémie.
Bacteria,细菌,Bactérie,Pathogen,Microbiology,原核致病菌,Bacteria cause infections.,细菌引起感染。,Les bactéries causent des infections.
CT scan,CT扫描,Scanner,Diagnostic,Imaging,计算机断层扫描,CT scan shows detailed images.,CT扫描显示详细图像。,Le scanner montre des images détaillées.
Dehydration,脱水,Déshydratation,Condition,General,体液不足,Prevent dehydration in elderly.,预防老年人脱水。,Prévenir la déshydratation chez les personnes âgées.
Edema,水肿,Œdème,Symptom,General,组织液体积聚,Heart failure causes edema.,心力衰竭引起水肿。,L'insuffisance cardiaque cause un œdème.
Fever,发热,Fièvre,Symptom,General,体温升高>37.5°C,Monitor fever closely.,密切监测发热。,Surveiller étroitement la fièvre.
Gastritis,胃炎,Gastrite,Disease,Gastroenterology,胃粘膜炎症,H. pylori causes gastritis.,幽门螺杆菌引起胃炎。,H. pylori cause une gastrite.
Hemoglobin,血红蛋白,Hémoglobine,Lab Test,Hematology,携氧蛋白质,Normal hemoglobin is 12-16 g/dL.,正常血红蛋白12-16g/dL。,L'hémoglobine normale est de 12-16 g/dL.
Immunization,免疫接种,Immunisation,Procedure,Preventive,疫苗预防,Complete immunization schedule.,完成免疫接种计划。,Compléter le calendrier d'immunisation.
Ketones,酮体,Cétones,Lab Test,Metabolic,脂肪代谢产物,Check urine ketones.,检查尿酮体。,Vérifier les cétones urinaires.
Lymph node,淋巴结,Ganglion lymphatique,Anatomy,Immunology,免疫系统组织,Swollen lymph nodes indicate infection.,淋巴结肿大提示感染。,Les ganglions lymphatiques gonflés indiquent une infection.
MRI,核磁共振,IRM,Diagnostic,Imaging,磁共振成像,MRI provides soft tissue detail.,MRI提供软组织细节。,L'IRM fournit des détails des tissus mous.
Nebulizer,雾化器,Nébuliseur,Instrument,Respiratory,药物雾化装置,Use nebulizer for asthma.,哮喘患者使用雾化器。,Utiliser le nébuliseur pour l'asthme.
Obesity,肥胖,Obésité,Disease,Nutrition,BMI>30的状态,Obesity increases health risks.,肥胖增加健康风险。,L'obésité augmente les risques pour la santé.
Pneumonia,肺炎,Pneumonie,Disease,Respiratory,肺部感染,Pneumonia requires antibiotics.,肺炎需要抗生素治疗。,La pneumonie nécessite des antibiotiques.
Quinine,奎宁,Quinine,Medication,Anti-malarial,抗疟药物,Quinine treats severe malaria.,奎宁治疗重症疟疾。,La quinine traite le paludisme grave.
Rheumatism,风湿病,Rhumatisme,Disease,Rheumatology,关节肌肉疾病,Rheumatism affects joints.,风湿病影响关节。,Le rhumatisme affecte les articulations.
Sepsis,败血症,Septicémie,Emergency,Infectious,全身感染反应,Sepsis is life-threatening.,败血症危及生命。,La septicémie met la vie en danger.
Tuberculosis,结核病,Tuberculose,Disease,Infectious,分枝杆菌感染,TB requires long-term treatment.,结核病需要长期治疗。,La tuberculose nécessite un traitement à long terme.
Ultrasound,超声,Échographie,Diagnostic,Imaging,声波成像技术,Ultrasound is safe in pregnancy.,超声在妊娠期安全。,L'échographie est sûre pendant la grossesse.
Vaccine,疫苗,Vaccin,Medication,Preventive,免疫制剂,Annual flu vaccine is recommended.,建议年度流感疫苗接种。,Le vaccin annuel contre la grippe est recommandé.
Wheezing,喘鸣,Sifflement,Symptom,Respiratory,呼吸道狭窄音,Asthma causes wheezing.,哮喘引起喘鸣。,L'asthme cause un sifflement.
Xerostomia,口干症,Xérostomie,Symptom,Oral,唾液分泌减少,Medications cause xerostomia.,药物引起口干症。,Les médicaments causent la xérostomie.
Yeast infection,真菌感染,Infection fongique,Disease,Infectious,真菌致病感染,Antifungal treats yeast infection.,抗真菌药治疗真菌感染。,Les antifongiques traitent l'infection fongique.
