EN Term,ZH,FR,Category,Subcategory,Notes,Example_EN,Example_ZH,Example_FR
Airway,气道,Voies aériennes,Basic,General,保持通畅是急救第一步,Clear the airway first.,首先清理气道。,Dégagez les voies aériennes en premier.
Bandage,绷带,Bandage,Instrument,Wound Care,用于压迫止血,Apply sterile bandage.,使用无菌绷带。,Appliquer un bandage stérile.
Contraindication,禁忌症,Contre-indication,Medication,Safety,禁止使用的情况,Pregnancy is a contraindication.,妊娠是禁忌症。,La grossesse est une contre-indication.
Dialysis,透析,Dialyse,Treatment,Nephrology,肾功能替代治疗,Hemodialysis 3 times weekly.,每周3次血液透析。,Hémodialyse 3 fois par semaine.
ECG,心电图,ECG,Diagnostic,Cardiology,心脏电活动记录,Perform a 12-lead ECG.,做12导联心电图。,Réaliser un ECG 12 dérivations.
Fracture,骨折,Fracture,Disease,Orthopedics,完全/不完全骨折,Closed fracture needs casting.,闭合骨折需打石膏。,Fracture fermée nécessite un plâtre.
Gauze,纱布,Gaze,Instrument,Wound Care,消毒纱布用于覆盖伤口,Use sterile gauze.,使用消毒纱布。,Utiliser de la gaze stérile.
Hemorrhage,出血,Hémorragie,Emergency,Trauma,内出血/外出血,Control hemorrhage immediately.,立即控制出血。,Contrôler l'hémorragie immédiatement.
IV line,静脉通路,Voie intraveineuse,Treatment,General,建立给药通道,Insert an IV line.,建立静脉通路。,Mettre en place une voie intraveineuse.
Jaundice,黄疸,Jaunisse,Symptom,General,胆红素升高表现,Newborn jaundice is common.,新生儿黄疸常见。,La jaunisse du nouveau-né est fréquente.
Kidney,肾脏,Rein,Anatomy,Urology,泌尿系统器官,The kidney filters blood.,肾脏过滤血液。,Le rein filtre le sang.
Laceration,撕裂伤,Lacération,Injury,Trauma,不规则伤口,Suture the laceration.,缝合撕裂伤。,Suturer la lacération.
Malignant,恶性,Malin,Disease,Oncology,癌性肿瘤,Malignant tumor requires biopsy.,恶性肿瘤需活检。,Tumeur maligne nécessite une biopsie.
Nausea,恶心,Nausée,Symptom,General,常见副作用,Chemotherapy causes nausea.,化疗导致恶心。,La chimiothérapie provoque des nausées.
Oxygen,氧气,Oxygène,Treatment,Respiratory,生命支持气体,Administer oxygen via mask.,通过面罩给氧。,Administrer de l'oxygène par masque.
Pulse,脉搏,Pouls,Vital Sign,General,60-100次/分钟正常,Check radial pulse.,检查桡动脉脉搏。,Vérifier le pouls radial.
